chaser,step,scene,duration_ms,beats
disco_funk-gold_room-saturday_groove,58,par_13_magenta,,1
disco_funk-gold_room-saturday_groove,59,par_24_magenta,,1
disco_funk-gold_room-saturday_groove,60,par_all_turquoise,,1
disco_funk-gold_room-saturday_groove,61,par_all_magenta,,1
disco_funk-gold_room-saturday_groove,62,par_13_magenta,,1
disco_funk-gold_room-saturday_groove,63,par_24_magenta,,1
disco_funk-gold_room-saturday_groove,64,par_all_turquoise,,1

# Disco & Funk - Gold Room - Mirrorball Peak - high
disco_funk-gold_room-mirrorball_peak,1,par_1_magenta,,1
disco_funk-gold_room-mirrorball_peak,2,par_2_magenta,,1
disco_funk-gold_room-mirrorball_peak,3,par_3_magenta,,1
disco_funk-gold_room-mirrorball_peak,4,par_4_magenta,,1
disco_funk-gold_room-mirrorball_peak,5,par_1_magenta,,1
disco_funk-gold_room-mirrorball_peak,6,par_2_magenta,,1
disco_funk-gold_room-mirrorball_peak,7,par_3_magenta,,1
disco_funk-gold_room-mirrorball_peak,8,par_4_magenta,,1
disco_funk-gold_room-mirrorball_peak,9,par_4_amber,,1
disco_funk-gold_room-mirrorball_peak,10,par_3_amber,,1
disco_funk-gold_room-mirrorball_peak,11,par_2_amber,,1
disco_funk-gold_room-mirrorball_peak,12,par_1_amber,,1
disco_funk-gold_room-mirrorball_peak,13,par_4_amber,,1
disco_funk-gold_room-mirrorball_peak,14,par_3_amber,,1
disco_funk-gold_room-mirrorball_peak,15,par_2_amber,,1
disco_funk-gold_room-mirrorball_peak,16,par_1_amber,,1
disco_funk-gold_room-mirrorball_peak,17,par_all_magenta,,1
disco_funk-gold_room-mirrorball_peak,18,par_13_magenta,,1
disco_funk-gold_room-mirrorball_peak,19,par_24_amber,,1
disco_funk-gold_room-mirrorball_peak,20,par_all_off,,1
disco_funk-gold_room-mirrorball_peak,21,par_all_magenta,,1
disco_funk-gold_room-mirrorball_peak,22,par_13_magenta,,1
disco_funk-gold_room-mirrorball_peak,23,par_24_amber,,1
disco_funk-gold_room-mirrorball_peak,24,par_all_off,,1
disco_funk-gold_room-mirrorball_peak,25,par_13_magenta,,1
disco_funk-gold_room-mirrorball_peak,26,par_24_amber,,1
disco_funk-gold_room-mirrorball_peak,27,par_13_magenta,,1
disco_funk-gold_room-mirrorball_peak,28,par_24_turquoise,,1
disco_funk-gold_room-mirrorball_peak,29,par_13_magenta,,1
disco_funk-gold_room-mirrorball_peak,30,par_24_amber,,1
disco_funk-gold_room-mirrorball_peak,31,par_13_magenta,,1
disco_funk-gold_room-mirrorball_peak,32,par_24_turquoise,,1
disco_funk-gold_room-mirrorball_peak,33,par_14_magenta,,1
disco_funk-gold_room-mirrorball_peak,34,par_23_amber,,1
disco_funk-gold_room-mirrorball_peak,35,par_14_turquoise,,1
disco_funk-gold_room-mirrorball_peak,36,par_23_amber,,1
disco_funk-gold_room-mirrorball_peak,37,par_14_magenta,,1
disco_funk-gold_room-mirrorball_peak,38,par_23_amber,,1
disco_funk-gold_room-mirrorball_peak,39,par_14_turquoise,,1
disco_funk-gold_room-mirrorball_peak,40,par_23_amber,,1
disco_funk-gold_room-mirrorball_peak,41,par_12_magenta,,1
disco_funk-gold_room-mirrorball_peak,42,par_34_amber,,1
disco_funk-gold_room-mirrorball_peak,43,par_all_turquoise,,1
disco_funk-gold_room-mirrorball_peak,44,par_all_off,,1
disco_funk-gold_room-mirrorball_peak,45,par_12_magenta,,1
